Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Id_of_description_4,Description_from_cwe_website_4,Score_4,Id_of_description_5,Description_from_cwe_website_5,Score_5,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-200,mitre-eg-2,"The login function logs in the user if the username and password are correct. It first checks if the username exists in the database. If it does, it then checks if the password matches the hashed password in the database. If both checks pass, the user is logged in and redirected to the success page.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.5193,523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.4308,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3784,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3493,640,"The product contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.",0.3327,237,0.0446,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-200,mitre-eg-6,"The info function displays sensitive information about the user, including username, e-mail, and ssn (last 4 digits).",213,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed.",0.4203,357,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention.",0.3963,921,The product stores sensitive information in a file system or device that does not have built-in access control.,0.3870,201,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.",0.3722,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.3686,12,0.3227,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-434,my-eg-1,The upload_pdf function saves the uploaded pdf file to the ./uploads directory.,276,"During installation, installed file permissions are set to allow anyone to modify those files.",0.2997,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.2815,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.2672,910,The product uses or accesses a file descriptor after it has been closed.,0.2441,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.2383,3,0.2672,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-3,The upload_file function saves uploaded files to the folder ./uploads if they are safe and if they are less than 2MB.,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.3994,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.3821,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.3747,910,The product uses or accesses a file descriptor after it has been closed.,0.3240,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3105,2,0.3821,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-2,The upload_image function saves uploaded images to the database base64 encoded. It also ensures that they are jpg images less than 1024kb in size.,515,A covert storage channel transfers information through the setting of bits by one program and the reading of those bits by another. What distinguishes this case from that of ordinary operation is that the bits are used to convey encoded information.,0.3374,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.3162,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.2794,1073,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",0.2767,838,"The product uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component.",0.2739,2,0.3162,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-787,mitre-eg-2,"The main function allocates two chunks of memory, each of size 10. It then checks to make sure that the first chunk is larger than the second chunk. If it is, the program exits with an error. Otherwise, the main function copies the contents of the first chunk into the second chunk.",805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5645,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.5479,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.5445,469,"The product subtracts one pointer from another in order to determine size, but this calculation can be incorrect if the pointers do not exist in the same memory chunk.",0.5063,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code.",0.4993,11,0.4587,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,mitre-eg-5,"The main function does the following:

1. Checks if the user provided 1 argument.
2. Gets the argument.
3. Prints the argument.
4. Trims the trailing whitespace.
5. Makes sure it is a hex string.
6. Prints the new length.
7. Trims the slashes and new lines.
8. Prints the new length.
9. Null terminates the string.
10. Prints the string.",474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3831,1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.3788,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3468,135,The product does not correctly calculate the length of strings that can contain wide or multi-byte characters.,0.3204,477,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.",0.3181,14,0.3007,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,codeql-eg-PotentialBufferOverflow,The main function in this code generates three random floats and converts them to strings.,343,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",0.4456,1241,The device uses an algorithm that is predictable and generates a pseudo-random number.,0.4442,1046,The product creates an immutable text string using string concatenation operations.,0.3873,474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3708,1235,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations.",0.3681,29,0.2598,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-125,my-2,"The getIdFromArray function returns the value at the given index in the array of ids. If the index is out of bounds, the function returns -1.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3591,1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",0.2951,253,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions.",0.2831,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.2790,191,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.",0.2630,32,0.1759,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-125,my-1,"The main function prompts the user to enter an index value and then checks if the value is in bounds. If it is, the function returns the value at the index in the id_sequence array. If the value is not in bounds, the function returns -1.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4489,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3370,1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",0.3226,253,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions.",0.3143,1335,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result.,0.3060,24,0.2605,125,"The product reads data past the end, or before the beginning, of the intended buffer."
