Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Id_of_description_4,Description_from_cwe_website_4,Score_4,Id_of_description_5,Description_from_cwe_website_5,Score_5,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-200,mitre-eg-2,"The `login()` function logs in the user if the username and password are correct. It does this by connecting to a MySQL database, querying the `users` table for the username and password, and returning the user's data if it is found. If the username or password is incorrect, the function returns an error message.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.3909,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3668,523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.3380,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3363,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3304,136,0.0889,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-200,mitre-eg-6,"The function `info()` displays sensitive information about the user, including their username, email, and the last four digits of their Social Security number. It does this by first retrieving the user's username, email, and Social Security number from the session. It then extracts the last four digits of the Social Security number and uses them to create a new string. Finally, it returns the new string to the user.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.3552,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3403,213,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed.",0.3347,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.3320,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",0.3121,62,0.2221,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-200,mitre-eg-1,"The `login()` function logs in the user if the username and password are correct. It does this by first connecting to a MySQL database and then executing a query to select the user's data from the `users` table. If the user's data is found, the function redirects the user to the `/home` page. Otherwise, the function returns a message stating that the username or password is incorrect.",523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.3651,601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.3300,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.3221,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3143,639,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,0.2771,139,0.0656,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-434,my-eg-1,"The function `upload_pdf()` saves the uploaded pdf file to the `./uploads` directory. It does this by first getting the file object from the `request.files` dictionary, and then saving it to the specified directory. The function returns a message indicating that the file was uploaded successfully.",379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.3095,494,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.,0.2681,910,The product uses or accesses a file descriptor after it has been closed.,0.2661,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.2492,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.2474,4,0.2492,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-3,"The `upload_file()` function saves uploaded files to the folder `./uploads` if they are safe and if they are less than 2MB. The function first checks the file size and returns an error message if the file is too large. The function then checks the file type and returns an error message if the file is not a safe type. If the file is safe and is not too large, the function saves the file to the `./uploads` folder and returns a success message.",1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3941,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.3691,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.3554,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.3425,910,The product uses or accesses a file descriptor after it has been closed.,0.3132,2,0.3691,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-787,mitre-eg-2,"The function `main` is the entry point of the program. It is responsible for initializing the program, processing user input, and displaying output. In this case, the function allocates two chunks of memory, sets their sizes, and then copies the contents of the first chunk to the second chunk.",466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.5346,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4867,786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.4787,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4754,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.4739,18,0.3762,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,codeql-eg-PotentialBufferOverflow,"The `main()` function is the entry point of the program. It is responsible for initializing the program, processing user input, and displaying output. In this case, the `main()` function generates three random floats, converts them to strings, and prints them to the console.",1102,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.",0.4870,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4472,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4330,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.4028,786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.3945,20,0.3328,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-125,my-1,"The `main()` function is the entry point of a C program. It is where the program starts executing. The `main()` function takes two arguments: `argc` and `argv`. `argc` is the number of command-line arguments, and `argv` is an array of pointers to the command-line arguments.

The `main()` function typically does the following:

* Declares and initializes variables.
* Reads input from the user.
* Performs calculations.
* Writes output to the screen.
* Returns a value to the operating system.

In the code you provided, the `main()` function declares an array of integers called `id_sequence`. The array has three elements, which are initialized to the values 1, 5, and 7. The function then prompts the user for an index value and stores it in the variable `i`. The function then checks to see if `i` is in the range of 0 to 2, which is the size of the `id_sequence` array. If `i` is in range, the function returns the value at the specified index in the array. Otherwise, the function returns 0.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4803,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4492,1102,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.",0.4311,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.4103,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4080,28,0.3182,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-190,mitre-eg-4,"The function main is the entry point of the program. It is responsible for initializing the program, calling the functions that perform the desired tasks, and cleaning up after the program has finished running. In this case, the function main calls the function getMonthlySales to get the number of sales for each month in the first quarter, and then adds them together to get the total sales for the first quarter.",1041,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",0.4284,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4282,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.4153,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.4061,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4028,40,0.2620,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-190,codeql-eg-ArithmeticTainted,"The function main is the entry point of the program. It is responsible for reading in the value from the command line, calculating the correct value with the offset of 1000 added, and printing the result to the console.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4618,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.4391,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.4202,1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.4129,1102,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.",0.4032,32,0.2947,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
