Index,CWE,Vulnerable,Ground_Ranking,Ground_Score,Id_of_description_1,Score_1,Id_of_description_2,Score_2,Id_of_description_3,Score_3
0,704,0,,,,,,,,
1,20,0,,,,,,,,
2,189,0,,,590,0.7668,1096,0.7626,615,0.7619
3,,0,,,564,0.7848,148,0.7817,685,0.7717
4,362,0,,,785,0.7682,599,0.7646,436,0.7552
5,399,0,,,1232,0.7321,1320,0.7304,,
6,20,0,,,258,0.8086,225,0.7633,443,0.7616
7,362,0,,,1125,0.7552,567,0.7471,777,0.7468
8,416,0,,,,,,,,
9,,0,,,,,,,,
10,,0,,,276,0.8174,1241,0.8108,377,0.8097
11,20,0,,,564,0.7851,148,0.7747,1078,0.7677
12,119,0,,,,,,,,
13,400,0,,,84,0.8071,698,0.7969,549,0.7876
14,20,0,,,531,0.7741,191,0.764,628,0.7606
15,119,0,,,439,0.7662,1187,0.7648,674,0.7609
16,269,0,,,1342,0.7522,1243,0.752,34,0.7448
17,476,0,,,108,0.7796,638,0.7742,688,0.7732
18,476,0,,,1299,0.7531,1323,0.7405,1351,0.7352
19,862,0,,,603,0.7485,1069,0.7472,474,0.7471
20,284,0,,,476,0.7639,487,0.761,391,0.7609
21,416,0,,,1256,0.7348,,,,
22,119,0,,,,,,,,
23,20,0,,,1250,0.7337,1007,0.7312,,
24,190,0,,,,,,,,
25,,0,,,198,0.7696,657,0.7693,56,0.7672
26,119,0,,,1292,0.7394,1330,0.7391,1336,0.7348
27,732,0,,,,,,,,
28,190,0,,,1045,0.7434,1069,0.7393,603,0.7371
29,200,0,,,1063,0.7617,91,0.758,546,0.7572
30,,0,,,1250,0.7347,,,,
31,787,0,,,,,,,,
32,20,0,,,1058,0.7587,1086,0.7534,1056,0.7514
33,20,0,,,29,0.7602,33,0.7592,30,0.7578
34,,0,,,270,0.8051,610,0.8037,272,0.7989
35,20,0,,,1059,0.7319,,,,
36,,0,,,,,,,,
37,772,0,,,56,0.773,48,0.7697,54,0.7689
38,,0,,,148,0.7674,564,0.7628,286,0.7536
39,,0,,,,,,,,
40,704,0,,,410,0.7774,391,0.7683,805,0.7557
41,,0,,,148,0.7883,564,0.7827,286,0.778
42,19,0,,,1248,0.7397,34,0.7394,263,0.7379
43,200,0,,,,,,,,
44,,0,,,1191,0.7303,,,,
45,476,0,,,1240,0.7463,,,,
46,835,0,,,,,,,,
47,,0,,,1296,0.7461,391,0.744,563,0.7436
48,400,0,,,,,,,,
49,,0,,,1078,0.7924,40,0.7918,39,0.7881
50,125,0,,,82,0.7619,81,0.7592,401,0.7589
51,20,0,,,612,0.7425,312,0.7424,1235,0.7376
52,264,0,,,1240,0.7423,,,,
53,787,0,,,1312,0.7569,605,0.7529,1064,0.7516
54,787,0,,,1240,0.7339,,,,
55,416,0,,,1224,0.7328,,,,
56,264,0,,,,,,,,
57,476,0,,,1268,0.7517,116,0.7472,1339,0.7454
58,119,0,,,,,,,,
59,362,0,,,,,,,,
60,254,0,,,1329,0.731,,,,
61,125,0,,,549,0.811,698,0.809,84,0.8072
62,190,0,,,,,,,,
63,416,0,,,1302,0.7386,1224,0.7335,1311,0.7329
64,119,0,,,531,0.7545,93,0.7476,628,0.7381
65,20,0,,,545,0.7769,148,0.7634,59,0.7626
66,94,0,,,619,0.7464,92,0.7444,581,0.7424
67,311,0,,,,,,,,
68,20,0,,,35,0.7443,1267,0.7375,1039,0.7337
69,119,0,,,245,0.7476,86,0.7458,1262,0.7387
70,611,0,,,1075,0.7409,91,0.74,1069,0.738
71,416,0,,,,,,,,
72,264,0,,,,,,,,
73,,0,,,,,,,,
74,134,0,,,,,,,,
75,,0,,,82,0.7426,64,0.7425,583,0.7399
76,119,0,,,,,,,,
77,119,0,,,,,,,,
78,399,0,,,,,,,,
79,20,0,,,,,,,,
80,,0,,,,,,,,
81,362,0,,,621,0.7603,26,0.7597,1281,0.7519
82,,0,,,,,,,,
83,,0,,,434,0.7921,705,0.7914,696,0.7887
84,119,0,,,1330,0.7365,327,0.7338,259,0.7332
85,416,0,,,,,,,,
86,,0,,,1095,0.7531,1072,0.7504,624,0.7487
87,416,0,,,91,0.7716,682,0.7602,81,0.7597
88,399,0,,,,,,,,
89,,0,,,338,0.7487,1193,0.7478,1301,0.7468
90,476,0,,,,,,,,
91,189,0,,,1394,0.7338,467,0.7323,69,0.7309
92,295,0,,,,,,,,
93,119,0,,,318,0.7613,786,0.7598,436,0.7581
94,,0,,,,,,,,
95,119,0,,,,,,,,
96,119,0,,,333,0.7733,51,0.7649,494,0.7608
97,200,0,,,1240,0.7437,,,,
