Index,CWE,Vulnerable,relation-with-Top-3,#relevant-top-3,relations,similar-id-1,similar-id-2,similar-id-3,similar-id-4,similar-id-5,similar-id-6,similar-id-7,similar-id-8,similar-id-9,similar-id-10
0,704,0,No,0,,1069,1052,603,1045,64,602,622,91,1072,474
1,20,0,No,0,,,,,,,,,,,
2,189,0,No,0,,590,1096,615,25,1086,923,1117,1122,435,403
4,362,0,No,0,,785,599,436,1076,795,261,271,36,1106,317
5,399,0,No,0,,1232,1320,488,1260,250,1385,502,648,,
6,20,0,No,0,,258,225,443,516,755,570,176,571,323,554
7,362,0,Yes,1,61 Requires 362,1125,567,777,1315,138,61,616,316,917,213
8,416,0,No,0,,,,,,,,,,,
11,20,0,No,0,,564,148,1078,286,685,303,349,40,545,680
12,119,0,No,0,,,,,,,,,,,
13,400,0,No,0,,84,698,549,408,277,85,135,290,288,459
14,20,0,No,0,,531,191,628,47,93,37,797,42,49,44
15,119,0,No,0,,439,1187,674,495,305,733,394,541,528,279
16,269,0,No,0,,1342,1243,34,244,31,612,1235,824,263,312
17,476,0,No,0,,108,638,688,348,669,71,148,587,217,83
18,476,0,No,0,,1299,1323,1351,1240,20,1256,,,,
19,862,0,No,0,,603,1069,474,1045,1072,126,91,624,1052,401
20,284,0,No,0,,476,487,391,425,306,410,314,593,8,788
21,416,0,No,0,,1256,1351,1299,1323,,,,,,
23,20,0,No,0,,1250,1007,1059,327,328,1357,1330,,,
24,190,0,No,0,,,,,,,,,,,
26,119,0,No,0,,1292,1330,1336,611,1341,640,1389,1326,319,1223
27,732,0,No,0,,,,,,,,,,,
28,190,0,No,0,,1045,1069,603,1072,474,1052,493,91,622,1095
29,200,0,No,0,,1063,91,546,1072,82,81,9,1069,682,64
31,787,0,No,0,,,,,,,,,,,
32,20,0,No,0,,1058,1086,1056,403,1060,923,590,432,1096,1041
33,20,0,No,0,,29,33,30,552,32,626,1310,195,24,1229
35,20,0,No,0,,1059,1341,327,1007,1291,1250,,,,
37,772,0,No,0,,56,48,54,657,198,273,596,93,783,500
40,704,0,Yes,1,704 and 410 are siblings,410,391,805,494,181,593,484,180,1062,773
42,19,0,No,0,,1248,34,263,31,1342,244,1265,920,1295,1321
43,200,0,No,0,,,,,,,,,,,
45,476,0,No,0,,1240,20,,,,,,,,
46,835,0,No,0,,,,,,,,,,,
48,400,0,No,0,,1299,,,,,,,,,
50,125,0,No,0,,82,81,401,428,1063,546,1075,91,583,1045
51,20,0,Yes,1,20 ChildOf 707,612,312,1235,764,707,262,34,33,626,212
52,264,0,No,0,,1240,,,,,,,,,
53,787,0,No,0,,1312,605,1064,1284,1242,433,1074,396,1054,111
55,416,0,No,0,,1224,200,1220,1231,1339,,,,,
56,264,0,No,0,,,,,,,,,,,
57,476,0,No,0,,1268,116,1339,1300,1269,416,1224,1220,591,760
58,119,0,No,0,,,,,,,,,,,
59,362,0,No,0,,,,,,,,,,,
60,254,0,No,0,,1329,,,,,,,,,
61,125,0,No,0,,549,698,84,290,321,277,408,135,414,459
62,190,0,No,0,,,,,,,,,,,
63,416,0,No,0,,1302,1224,1311,1274,1022,1290,1316,1317,1252,497
64,119,0,No,0,,531,93,628,191,47,663,37,149,194,49
65,20,0,No,0,,545,148,59,564,40,39,268,229,1078,480
66,94,0,No,0,,619,92,581,1118,1076,595,413,1101,758,150
67,311,0,No,0,,,,,,,,,,,
68,20,0,No,0,,35,1267,1039,1246,1328,1278,1077,89,,
69,119,0,No,0,,245,86,1262,1096,1050,586,615,243,464,72
70,611,0,No,0,,1075,91,1069,1114,1072,546,1063,1067,682,583
71,416,0,No,0,,1240,,,,,,,,,
72,264,0,No,0,,1248,,,,,,,,,
74,134,0,No,0,,1326,,,,,,,,,
76,119,0,No,0,,1250,,,,,,,,,
77,119,0,Yes,1,20 CanPrecede 119,20,1240,,,,,,,,
78,399,0,No,0,,,,,,,,,,,
79,20,0,No,0,,,,,,,,,,,
81,362,0,Yes,1,362 and 1281 are siblings,621,26,1281,636,825,558,1083,457,111,1071
84,119,0,No,0,,1330,327,259,1341,301,1291,1250,1059,1292,1007
85,416,0,No,0,,,,,,,,,,,
87,416,0,No,0,,91,682,81,1069,1063,1072,583,9,1075,1052
88,399,0,No,0,,1240,,,,,,,,,
90,476,0,No,0,,,,,,,,,,,
91,189,0,No,0,,1394,467,69,834,1058,64,572,598,551,511
92,295,0,No,0,,,,,,,,,,,
93,119,0,Yes,1,786 ChildOf 119,318,786,436,686,1124,6,112,1076,215,1101
95,119,0,No,0,,,,,,,,,,,
96,119,0,No,0,,333,51,494,395,596,793,657,221,835,50
97,200,0,No,0,,1240,20,,,,,,,,
