Index,CWE,Vulnerable,relation-with-Top-3,#relevant-top-3,relations,TP,TN,FP,FN,Extra FN,similar-id-1,similar-id-2,similar-id-3
0,704,0,No,0,,,Yes,,,,,,
1,20,0,No,0,,,Yes,,,,,,
2,189,0,No,0,,,,Yes,,,590,1096,615
4,362,0,No,0,,,,Yes,,,785,599,436
5,399,0,No,0,,,,Yes,,,1232,1320,
6,20,0,No,0,,,,Yes,,,258,225,443
7,362,0,No,0,,,,Yes,,,1125,567,777
8,416,0,No,0,,,Yes,,,,,,
11,20,0,No,0,,,,Yes,,,564,148,1078
12,119,0,No,0,,,Yes,,,,,,
13,400,0,No,0,,,,Yes,,,84,698,549
14,20,0,No,0,,,,Yes,,,531,191,628
15,119,0,No,0,,,,Yes,,,439,1187,674
16,269,0,No,0,,,,Yes,,,1342,1243,34
17,476,0,No,0,,,,Yes,,,108,638,688
18,476,0,No,0,,,,Yes,,,1299,1323,1351
19,862,0,No,0,,,,Yes,,,603,1069,474
20,284,0,No,0,,,,Yes,,,476,487,391
21,416,0,No,0,,,,Yes,,,1256,,
23,20,0,No,0,,,,Yes,,,1250,1007,
24,190,0,No,0,,,Yes,,,,,,
26,119,0,No,0,,,,Yes,,,1292,1330,1336
27,732,0,No,0,,,Yes,,,,,,
28,190,0,No,0,,,,Yes,,,1045,1069,603
29,200,0,No,0,,,,Yes,,,1063,91,546
31,787,0,No,0,,,Yes,,,,,,
32,20,0,No,0,,,,Yes,,,1058,1086,1056
33,20,0,No,0,,,,Yes,,,29,33,30
35,20,0,No,0,,,,Yes,,,1059,,
37,772,0,No,0,,,,Yes,,,56,48,54
40,704,0,Yes,1,704 and 410 are siblings,,,Yes,,,410,391,805
42,19,0,No,0,,,,Yes,,,1248,34,263
43,200,0,No,0,,,Yes,,,,,,
45,476,0,No,0,,,,Yes,,,1240,,
46,835,0,No,0,,,Yes,,,,,,
48,400,0,No,0,,,Yes,,,,,,
50,125,0,No,0,,,,Yes,,,82,81,401
51,20,0,No,0,,,,Yes,,,612,312,1235
52,264,0,No,0,,,,Yes,,,1240,,
53,787,0,No,0,,,,Yes,,,1312,605,1064
55,416,0,No,0,,,,Yes,,,1224,,
56,264,0,No,0,,,Yes,,,,,,
57,476,0,No,0,,,,Yes,,,1268,116,1339
58,119,0,No,0,,,Yes,,,,,,
59,362,0,No,0,,,Yes,,,,,,
60,254,0,No,0,,,,Yes,,,1329,,
61,125,0,No,0,,,,Yes,,,549,698,84
62,190,0,No,0,,,Yes,,,,,,
63,416,0,No,0,,,,Yes,,,1302,1224,1311
64,119,0,No,0,,,,Yes,,,531,93,628
65,20,0,No,0,,,,Yes,,,545,148,59
66,94,0,No,0,,,,Yes,,,619,92,581
67,311,0,No,0,,,Yes,,,,,,
68,20,0,No,0,,,,Yes,,,35,1267,1039
69,119,0,No,0,,,,Yes,,,245,86,1262
70,611,0,No,0,,,,Yes,,,1075,91,1069
71,416,0,No,0,,,Yes,,,,,,
72,264,0,No,0,,,Yes,,,,,,
74,134,0,No,0,,,Yes,,,,,,
76,119,0,No,0,,,Yes,,,,,,
77,119,0,No,0,,,Yes,,,,,,
78,399,0,No,0,,,Yes,,,,,,
79,20,0,No,0,,,Yes,,,,,,
81,362,0,Yes,1,362 and 1281 are siblings,,,Yes,,,621,26,1281
84,119,0,No,0,,,,Yes,,,1330,327,259
85,416,0,No,0,,,Yes,,,,,,
87,416,0,No,0,,,,Yes,,,91,682,81
88,399,0,No,0,,,Yes,,,,,,
90,476,0,No,0,,,Yes,,,,,,
91,189,0,No,0,,,,Yes,,,1394,467,69
92,295,0,No,0,,,Yes,,,,,,
93,119,0,Yes,1,786 ChildOf 119,,,Yes,,,318,786,436
95,119,0,No,0,,,Yes,,,,,,
96,119,0,No,0,,,,Yes,,,333,51,494
97,200,0,No,0,,,,Yes,,,1240,,
98,20,0,No,0,,,,Yes,,,148,564,1078
99,119,0,No,0,,,,Yes,,,564,148,286
100,119,0,No,0,,,Yes,,,,,,
101,399,0,No,0,,,,Yes,,,1299,,
102,20,0,No,0,,,,Yes,,,587,708,152
103,416,0,No,0,,,,Yes,,,14,83,109
104,200,0,No,0,,,,Yes,,,1106,436,804
105,189,0,No,0,,,,Yes,,,250,1232,1278
107,476,0,No,0,,,Yes,,,,,,
108,119,0,No,0,,,,Yes,,,1323,,
109,125,0,No,0,,,,Yes,,,391,410,593
110,787,0,No,0,,,,Yes,,,583,64,82
111,264,0,No,0,,,,Yes,,,923,1086,
113,125,0,No,0,,,Yes,,,,,,
114,834,0,No,0,,,Yes,,,,,,
118,19,0,No,0,,,,Yes,,,116,1268,1269
119,362,0,No,0,,,,Yes,,,843,829,1270
120,119,0,No,0,,,,Yes,,,87,549,210
121,20,0,No,0,,,Yes,,,,,,
122,119,0,No,0,,,,Yes,,,122,96,14
123,20,0,No,0,,,,Yes,,,1074,1392,1097
124,399,0,No,0,,,,Yes,,,1256,,
126,254,0,No,0,,,,Yes,,,1119,1118,1092
127,125,0,No,0,,,Yes,,,,,,
129,119,0,No,0,,,Yes,,,,,,
130,119,0,No,0,,,Yes,,,,,,
131,362,0,No,0,,,,Yes,,,1039,35,1267
132,264,0,No,0,,,,Yes,,,1299,,
134,732,0,No,0,,,Yes,,,,,,
136,200,0,No,0,,,,Yes,,,1240,,
137,476,0,No,0,,,Yes,,,,,,
138,190,0,No,0,,,Yes,,,,,,
139,404,0,No,0,,,,Yes,,,1282,770,626
