CWE,Folder,func
cwe-89,codeql-eg-SqlInjection-a,"def unsubscribe():
	email = request.args.get('email')
	db = MySQLdb.connect(host='localhost', user='root', passwd='mysql', db='cwe')
	cur = db.cursor()
	cur.execute(""SELECT * FROM users WHERE email=%s"",(email))
	if cur.fetchone() != None:
		cur.execute(""DELETE FROM users WHERE email=%s"",(email))
		db.commit()
		cur.close()
		db.close()
		return(""{0} has been successfully removed from the database!"".format(email))
	else:
		cur.close()
		db.close()
		return(""{0} is not in the database!"".format(email))
"
cwe-89,my-eg-2,"def insert_user_message_in_db(username, message):
    db = get_db_connection()
    cursor = db.cursor()
    sql = ""INSERT INTO messages (username, message) VALUES ('%s', '%s')"" % (username, message)
    try:
        # Execute the SQL command
        cursor.execute(sql)
        # Commit your changes in the database
        db.commit()
    except:
        # Rollback in case there is any error
        db.rollback()

    # disconnect from server
    db.close()


@app.route('/')
"
cwe-89,my-eg-1,"def buy_stock():
    stock_name = request.form['stock_name']
    stock_quantity = request.form['stock_quantity']
    username = session['username']

    #insert the buy order in the database
    db = MySQLdb.connect(host=""localhost"", user=""root"", passwd=""root"", db=""db"")
    cur = db.cursor()
    cur.execute(""""""INSERT INTO orders (username, stock_name, stock_quantity) VALUES (%s, %s, %s)"""""", (username, stock_name, stock_quantity))
    db.commit()
    db.close()

    #call the buy function to pass stock name
    buy_function(stock_name)

    return redirect('/')
"
cwe-20,codeql-eg-IncompleteHostnameRegExp,"rv = re.compile(r'.*example\.com')

@app.route('/')
"
cwe-20,codeql-eg-IncompleteUrlSubstringSanitization,"def redirect_request(url):
	parsed = urlparse(url)
	if parsed.netloc == 'example.com':
		return redirect(url, code=302)
	else:
		return '', 404
"
cwe-20,my-eg-1,"    sale_value = get_market_price(symbol) * quantity;
    return sale_value;
}
"
cwe-125,mitre-eg-1,"    if (index < 0 || index >= size) {
        return -1;
    }
    return array[index];
}
"
cwe-125,my-1,"    if (i > 0 && i <= 3) {
        return id_sequence[i - 1];
    } else {
        return -1;
    }
}
"
cwe-125,my-2,"    if (index < 0 || index >= IDS_ARRAY_SIZE) {
        return -1;
    }
    return ids[index];
}
"
cwe-732,codeql-eg-WeakFilePermissions,"os.chmod(super_secret_filename, 0o400)
"
cwe-732,codeql-eg-DoNotCreateWorldWriteable-b,"    int fd = open(important_config, O_RDWR | O_CREAT, S_IRUSR | S_IWUSR | S_IRGRP | S_IROTH);
    if (fd == -1) {
        fprintf(stderr, ""Could not open important_config file\n"");
        exit(EXIT_FAILURE);
    }
    write(fd, important_config, strlen(important_config));
    close(fd);
"
cwe-732,codeql-eg-DoNotCreateWorldWriteable-a,"    int fd = open(important_config, O_CREAT|O_TRUNC|O_WRONLY, S_IRUSR|S_IWUSR);
    if(fd == -1) {
        fprintf(stderr, ""could not open %s\n"", important_config);
        return 1;
    }
    size_t written = write(fd, important_config, strlen(important_config) + 1);
    if(written != strlen(important_config) + 1) {
        //close the file
        close(fd);
        fprintf(stderr, ""could not write to file %s\n"", important_config);
        return 1;
    }
    close(fd);
"
cwe-200,mitre-eg-1,"def login():
    username = request.form['username']
    password = request.form['password']
    db = MySQLdb.connect(host=""localhost"", user=""root"", passwd=""root"", db=""db"")
    cursor = db.cursor()
    sql = ""SELECT * FROM users WHERE username = '%s' AND password = '%s'"" % (username, password)
    try:
        cursor.execute(sql)
        results = cursor.fetchall()
        for row in results:
            id = row[0]
        # log the user in
        session['id'] = id
        session['Role'] = row[1]
        return redirect('/dashboard')
    except:
        return redirect('/login')

@app.route('/dashboard', methods = ['GET'])
"
cwe-200,mitre-eg-2,"        db = MySQLdb.connect(host=""localhost"",
                     user=""cwe"",
                     passwd=""password"",
                     db=""cwe"")
        cursor = db.cursor()
        cursor.execute(""SELECT password FROM registered_users WHERE username='%s'"",(username))
        data = cursor.fetchall()
        db.close()
    except Exception as e:
        print(e)
        return redirect('/internal_server_error')
    if (len(data) == 0):
        return redirect('/cant_login')
    else:
        h = hashlib.sha1(password.encode('utf-8')).hexdigest()
        if (data[0][0] == h):
            return redirect('/success')
        else:
            return redirect('/cant_login')
"
cwe-200,mitre-eg-6,"def info():
    username = session['username']
    email = session['email']
    ssn = session['ssn']
    return return_info_page(username, email, ssn)
"
cwe-190,codeql-eg-ArithmeticUncontrolled,"    int a = rand() % 1000 + 1000;
    //generate a random integer larger than 1000
    int b = rand() % 1000 + 1000;
"
cwe-190,codeql-eg-ArithmeticTainted,"    int result = value + 1000;
    printf(""%d\n"", result);
    return 0;
}
"
cwe-190,mitre-eg-4,"    int firstQuarter = getMonthlySales(1) + getMonthlySales(2) + getMonthlySales(3);
    
    //sum the number of sales for the second quarter
    int secondQuarter = getMonthlySales(4) + getMonthlySales(5) + getMonthlySales(6);
    
    //sum the number of sales for the third quarter
    int thirdQuarter = getMonthlySales(7) + getMonthlySales(8) + getMonthlySales(9);
    
    //sum the number of sales for the fourth quarter
    int fourthQuarter = getMonthlySales(10) + getMonthlySales(11) + getMonthlySales(12);
    
    printf(""First quarter: %i\n"", firstQuarter);
    printf(""Second quarter: %i\n"", secondQuarter);
    printf(""Third quarter: %i\n"", thirdQuarter);
    printf(""Fourth quarter: %i\n"", fourthQuarter);
    
    return 0;
"
cwe-476,codeql-eg-MissingNullTest-b,"    p->status = 0;
"
cwe-476,codeql-eg-MissingNullTest-a,"    person *p = malloc(sizeof(person));
    p->status = 0;
"
cwe-476,codeql-eg-MissingNullTest-c,"    fgets(buf, 1024, stdin);
"
cwe-22,codeql-eg-TarSlip,"with tarfile.open(""archive.zip"") as tar:
        tar.extractall(""/tmp/unpack"")
"
cwe-22,codeql-eg-C-TaintedPath,"    memcpy(fileNameBuffer, restrictedSafeDirectory, strlen(restrictedSafeDirectory));
    memcpy(fileNameBuffer + strlen(restrictedSafeDirectory), requestedFileName, requestedFileNameLen);
"
cwe-22,codeql-eg-Python-TaintedPath,"def img():
    name = request.args.get('name')
    return open('images/'+name, 'rb').read()
"
cwe-434,my-eg-2,"def upload_image():
    img_file = request.files['img']
    img_name = img_file.filename
    img_data = img_file.read()
    img_file.close()
    db = MySQLdb.connect(host=os.environ['MYSQL_HOSTNAME'], user=os.environ['MYSQL_USERNAME'], passwd=os.environ['MYSQL_PASSWORD'], db=os.environ['MYSQL_DB_NAME'])
    cur = db.cursor()
    cur.execute(""CREATE TABLE IF NOT EXISTS cwe_434_images ( image_name varchar(100), image_data MEDIUMBLOB, PRIMARY KEY (image_name))"")
    cur.execute(""INSERT INTO cwe_434_images (image_name, image_data) VALUES (%s, %s)"", (img_name, base64.b64encode(img_data)))
    db.commit()
    db.close()
    return redirect(""/"", code=302)
"
cwe-434,my-eg-3,"def upload_file():
    f = request.files['f']
    if file_is_safe_type(f):
        f.save(os.path.join('./uploads', f.filename))
        return 'File uploaded successfully'
    else:
        return 'File not correctly uploaded'
"
cwe-434,my-eg-1,"def upload_pdf():
    p = request.files['pdf']
    p.save('./uploads/' + p.filename)
"
cwe-79,codeql-eg-ExternalAPISinkExample,"  sprintf(outputbuf, PAGE_HEAD ""Hello, %s"" PAGE_TAIL, escape_html(username));
  fprintf(response, ""%s"", outputbuf);
}
"
cwe-79,codeql-eq-ReflectedXss,"def hello(username=None):
    return render_template(""hello.html"", name=username)
"
cwe-79,codeql-eg-Jinja2WithoutEscaping,"env = Environment(
    loader=loader,
    autoescape=select_autoescape(['html', 'xml']),
    trim_blocks=True,
    lstrip_blocks=True,
)
"
cwe-306,my-eg-2,"def admin_page():
    is_admin = (session['username'] == 'admin')
    if not is_admin:
        abort(403)
    return '''<html>
    Hello, %s! <a href='./'>Home</a>
    </html>''' % g.username
"
