CWE,Folder,Vulnerable,Id_of_description_1,Id_of_description_2,Id_of_description_3
89,codeql-eg-SqlInjection-a,FALSE,,,
89,my-eg-2,TRUE,,,
89,my-eg-1,FALSE,,,
20,codeql-eg-IncompleteHostnameRegExp,FALSE,434,705,345
20,codeql-eg-IncompleteUrlSubstringSanitization,FALSE,,,
20,my-eg-1,TRUE,233,278,706
125,mitre-eg-1,FALSE,561,628,178
125,my-1,FALSE,,,
125,my-2,FALSE,185,596,50
732,codeql-eg-WeakFilePermissions,FALSE,1241,276,377
732,codeql-eg-DoNotCreateWorldWriteable-b,FALSE,1331,,
732,codeql-eg-DoNotCreateWorldWriteable-a,FALSE,,,
200,mitre-eg-1,FALSE,,,
200,mitre-eg-2,FALSE,,,
200,mitre-eg-6,TRUE,,,
190,codeql-eg-ArithmeticUncontrolled,FALSE,122,96,230
190,codeql-eg-ArithmeticTainted,TRUE,40,39,447
190,mitre-eg-4,TRUE,,,
476,codeql-eg-MissingNullTest-b,TRUE,258,225,443
476,codeql-eg-MissingNullTest-a,TRUE,588,691,220
476,codeql-eg-MissingNullTest-c,TRUE,140,448,449
22,codeql-eg-TarSlip,TRUE,564,148,303
22,codeql-eg-C-TaintedPath,TRUE,494,52,585
22,codeql-eg-Python-TaintedPath,TRUE,108,638,688
434,my-eg-2,TRUE,,,
434,my-eg-3,FALSE,1050,245,383
434,my-eg-1,TRUE,688,638,217
79,codeql-eg-ExternalAPISinkExample,FALSE,37,194,47
79,codeql-eq-ReflectedXss,FALSE,1111,,
79,codeql-eg-Jinja2WithoutEscaping,FALSE,391,,
306,my-eg-2,FALSE,1058,257,1122
306,my-eg-3,FALSE,,,
306,my-eg-1,FALSE,340,75,347
798,codeql-eg-HardcodedCredentials-c,FALSE,,,
798,codeql-eg-HardcodedCredentials-b,FALSE,,,
798,codeql-eg-HardcodedCredentials-a,TRUE,,,
502,codeql-eg-UnsafeDeserialization-b,FALSE,,,
502,codeql-eg-UnsafeDeserialization-c,FALSE,,,
502,codeql-eg-UnsafeDeserialization-a,TRUE,,,
416,mitre-eg-2,TRUE,,,
416,codeql-UseAfterFree,FALSE,835,,
416,my-eg-1,FALSE,28,26,1104
522,my-eg-1-c,TRUE,,,
522,my-eg-1-a,TRUE,,,
522,my-eg-1-b,TRUE,,,
787,mitre-eg-2,FALSE,157,689,230
787,mitre-eg-5,FALSE,1329,,
787,codeql-eg-PotentialBufferOverflow,TRUE,,,
78,codeql-eg-python-CommandInjection,FALSE,761,762,145
78,my-1,TRUE,340,75,283
78,codeql-eg-c-ExecTainted,TRUE,610,270,560
119,mitre-eg-3,TRUE,628,37,194
119,my-eg-1,TRUE,50,185,835
119,codeql-eg-OverflowBuffer,FALSE,449,140,323
